,CTRL_0_R1,CTRL_0_R2,CTRL_0_R3,PT1_0_R1,PT1_0_R2,PT1_0_R3,PT1_9.6_R1,PT1_9.6_R2,PT1_9.6_R3,PT1_9.6_R4,PT1_15.4_R1,PT1_15.4_R2,PT1_15.4_R3,PT1_15.4_R4,PT2_0_R1,PT2_0_R2,PT2_0_R3,PT2_9.6_R1,PT2_9.6_R2,PT2_9.6_R3,PT2_9.6_R4,PT2_15.4_R1,PT2_15.4_R2,PT2_15.4_R3,PT2_15.4_R4,PT3_0_R1,PT3_0_R2,PT3_0_R3,PT3_9.6_R1,PT3_9.6_R2,PT3_9.6_R3,PT3_9.6_R4,PT3_15.4_R1,PT3_15.4_R2,PT3_15.4_R3,PT3_15.4_R4,PT4_0_R1,PT4_0_R2,PT4_0_R3,PT4_9.6_R1,PT4_9.6_R2,PT4_9.6_R3,PT4_9.6_R4,PT4_15.4_R1,PT4_15.4_R2,PT4_15.4_R3,PT4_15.4_R4,PT5_0_R1,PT5_0_R2,PT5_0_R3,PT5_9.6_R1,PT5_9.6_R2,PT5_9.6_R3,PT5_9.6_R4,PT5_15.4_R1,PT5_15.4_R2,PT5_15.4_R3,PT5_15.4_R4
L03F6288,0,0,0,2,2,0,0,0,0,1,15,0,0,2,4,16,2,0,2,1,0,2,4,3,1,0,1,0,0,0,0,0,1,0,2,1,5,2,6,0,0,1,1,2,11,16,19,1,1,1,0,0,0,0,2,1,4,5
L03F6289,0,1,0,3,2,3,0,0,0,4,38,3,0,11,0,8,8,2,1,2,0,5,4,17,3,1,0,1,2,1,4,5,3,0,6,9,5,6,17,2,0,0,4,6,20,16,12,5,2,2,1,0,2,3,6,13,16,26
L03F6290,0,0,0,3,0,3,0,0,0,1,34,2,1,2,0,3,3,2,1,0,0,3,6,5,2,1,0,0,4,0,2,0,1,0,3,5,5,3,4,1,0,0,2,8,0,24,3,0,2,0,0,0,0,0,0,5,5,10
L03F6291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6292,0,0,0,10,2,0,0,1,1,3,33,7,3,16,3,19,4,2,1,1,1,6,20,18,9,1,0,0,3,2,1,4,5,0,14,6,9,6,34,0,0,1,6,8,14,16,19,5,4,1,0,0,0,0,5,13,23,22
L03F6293,0,0,0,8,1,4,3,0,0,1,13,3,0,11,2,4,0,1,1,2,0,0,8,20,3,1,1,0,2,0,1,1,1,0,6,3,0,0,14,1,0,0,3,3,11,10,10,1,3,0,4,0,1,2,1,7,10,8
L03F6294,0,0,0,3,5,4,2,0,0,0,18,1,0,3,0,4,5,0,1,3,1,4,5,16,4,2,1,0,2,1,2,0,0,2,2,7,7,1,8,0,0,0,1,3,5,17,8,2,0,0,1,0,3,2,2,6,39,5
L03F6295,0,0,0,8,1,1,0,0,0,1,55,3,1,5,7,23,0,2,0,1,2,1,13,10,6,0,1,0,5,2,2,4,3,0,7,7,8,10,11,0,0,1,7,14,13,24,20,2,1,0,0,2,0,3,6,2,13,11
L03F6296,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,2,1,0,1,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,6,1,0,0,3,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,1,1,5,2
L03F6297,0,0,0,3,1,1,0,1,0,0,4,1,1,7,12,23,3,1,0,1,1,3,0,6,1,1,0,0,1,0,2,0,0,1,1,4,2,1,2,1,0,0,3,2,6,21,10,2,2,0,0,0,0,1,1,2,8,3
L03F6298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6299,0,0,0,8,0,6,0,0,1,9,8,6,5,17,1,3,3,3,1,4,1,5,16,5,6,2,5,2,4,3,5,4,7,1,9,11,12,12,23,0,0,0,19,6,13,13,4,5,10,14,8,6,5,8,21,14,29,24
L03F6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
L03F6301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
L03F6302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0
L03F6303,0,0,0,17,2,6,1,0,0,11,10,9,15,24,5,10,13,6,5,4,1,3,20,12,5,3,2,0,9,7,11,13,7,0,25,17,27,16,32,0,0,1,24,12,24,15,10,7,7,13,2,2,5,6,22,19,34,39
L03F6304,0,0,0,3,0,0,0,0,0,0,3,0,1,1,0,0,0,1,1,2,0,1,3,1,1,0,0,0,1,0,1,0,0,0,1,1,5,0,1,0,0,0,2,1,7,0,0,1,2,2,0,0,0,0,0,0,0,1
L03F6305,0,0,0,17,3,3,0,0,0,5,14,9,12,24,0,7,4,1,2,3,4,5,11,7,7,0,0,1,7,2,11,9,6,2,16,15,13,4,18,0,0,0,20,6,10,12,9,4,5,3,1,1,2,3,10,5,16,13
L03F6306,0,0,0,2,0,0,0,0,0,0,0,2,0,8,0,2,0,0,0,0,0,2,3,2,1,0,0,0,0,2,3,1,2,1,4,3,4,0,1,0,0,0,2,1,2,2,0,0,2,0,0,0,0,1,1,1,3,3
L03F6307,0,0,0,3,0,0,0,0,0,1,5,2,1,7,0,2,1,0,1,3,1,3,2,0,5,1,0,0,2,2,1,0,2,0,7,10,7,2,4,0,0,0,2,2,3,6,1,0,1,0,0,0,0,2,4,1,6,8
L03F6308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
L03F6309,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
L03F6310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6311,0,0,0,2,0,0,0,0,0,2,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,7,0,0,0,1,0,2,1,4,0,22,0,0,0,2,0,1,3,2,0,1,0,1,0,0,0,1,0,0,1
L03F6312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,4,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
L03F6314,0,0,0,0,1,0,0,0,0,3,2,2,1,7,0,3,4,2,0,1,0,0,1,1,3,0,0,0,3,1,0,1,0,0,10,3,11,2,35,0,0,0,9,5,3,1,1,3,2,0,1,0,0,1,6,2,1,0
L03F6315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6317,0,0,0,1,0,1,0,0,0,1,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,5,0,1,0,5,0,0,0,4,2,2,0,0,0,0,0,1,0,0,0,0,0,2,2
L03F6318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
L03F6319,0,0,0,21,11,4,0,0,0,2,11,1,4,5,2,7,6,0,1,2,3,2,13,4,13,10,3,1,9,6,4,3,3,1,11,7,53,12,32,0,0,0,31,8,8,15,6,15,14,14,7,6,5,5,10,11,37,26
L03F6320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6321,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,1,0,0,3,0,2,2,3,1,0,0,1,1,0,1,0,0,1,1,1,3,0,0,0,0,2,0,0,0,2,3,2,1,1,0,2,1,2,2,2
L03F6322,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2
L03F6323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L03F6324,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
L03F6325,0,0,0,4,1,1,0,0,0,3,5,5,8,19,3,0,3,1,0,1,0,2,6,1,0,0,3,0,2,0,0,0,1,0,6,5,15,0,13,1,0,0,48,8,6,17,8,1,2,5,1,1,1,0,2,1,9,2
L03F6326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6327,0,0,0,1,0,1,0,0,0,3,2,1,1,0,1,0,3,4,0,6,1,2,3,0,1,4,0,0,2,1,1,1,1,0,0,3,2,0,1,0,0,0,1,0,0,0,0,1,0,5,2,1,0,2,1,1,7,2
L03F6328,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
L03F6329,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6330,0,0,0,26,4,12,0,0,0,7,3,7,5,14,5,14,14,2,2,2,0,3,10,0,1,10,6,5,9,3,4,4,4,1,16,15,38,19,5,1,0,0,0,13,2,2,0,16,23,43,2,4,7,14,14,13,22,15
L03F6331,0,0,0,13,1,6,0,0,0,3,1,2,1,4,4,8,10,2,3,1,0,5,4,0,0,6,3,3,3,1,3,6,2,0,4,6,29,7,1,0,0,0,0,4,2,0,1,15,20,40,1,5,9,4,17,8,20,9
L03F6332,0,0,0,9,2,5,0,0,0,1,1,2,2,5,0,7,5,0,0,0,0,3,5,2,0,1,1,1,3,1,0,1,1,0,2,3,15,3,1,0,0,0,1,3,1,0,1,2,6,10,1,4,3,7,7,1,8,8
L03F6333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
L03F6335,0,0,0,27,12,5,0,0,0,5,68,11,7,13,3,21,9,8,11,78,70,17,90,39,19,2,1,0,6,9,4,5,48,1,16,21,7,10,29,0,0,0,11,14,30,30,20,13,10,8,6,6,7,40,8,27,108,157
L03F6336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
L03F6337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6338,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
L03F6339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L03F6340,0,0,0,1,2,0,0,0,0,1,1,0,0,5,0,1,1,0,2,3,0,1,2,1,4,1,1,0,0,1,1,0,2,0,3,3,2,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,3,0,0,6,2
L03F6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,2,2
L03F6342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6344,0,0,1,89,16,26,0,0,0,29,46,52,46,128,34,36,56,12,19,28,5,22,107,24,38,64,31,6,74,21,25,43,36,5,79,56,138,51,179,0,0,1,85,24,38,57,25,114,126,162,54,39,46,69,102,101,281,166
L03F6345,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,0,2,2
L03F6346,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6347,0,1,0,37,7,4,0,0,0,8,15,11,13,38,1,5,8,14,8,7,3,14,45,11,14,47,27,7,3,15,22,15,15,8,11,43,25,6,22,0,0,0,14,5,4,18,4,14,17,11,13,8,4,7,10,9,36,33
L03F6348,0,0,0,7,1,4,0,0,0,1,4,2,3,5,2,2,5,3,0,0,0,0,5,0,3,10,2,5,1,1,2,2,0,0,1,4,9,3,13,0,0,0,0,0,1,2,0,2,2,5,1,0,1,2,2,1,4,4
L03F6349,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
L03F6350,0,0,1,878,203,176,0,5,2,297,444,370,293,962,204,415,378,218,172,353,122,367,1131,378,419,586,324,140,227,298,352,401,320,65,363,792,969,531,1152,34,2,1,577,392,356,597,258,523,528,686,327,226,346,674,480,521,1781,1780
L03F6351,3,1,4,4890,1027,1087,21,23,6,1963,3098,2396,1846,5660,1329,2587,2333,1462,1075,2469,806,2243,6900,2433,2654,3562,2003,796,1658,1666,1880,2259,2167,375,2545,4523,6359,3361,6699,142,13,6,3303,2851,2373,3317,1471,3509,3604,4756,1929,1623,2097,3062,3105,3281,11468,7486
L03F6352,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,14,0,0,0,0,0,0,1,0,0,0,0,1
L03F6353,1,0,0,42,9,8,1,1,0,9,96,6,4,20,2,44,15,9,6,14,14,24,48,46,8,10,1,1,11,2,9,11,14,3,21,26,12,18,36,1,0,0,9,30,33,31,25,21,19,18,20,5,13,65,7,41,150,237
L03F6354,0,0,0,30,3,5,1,0,0,8,118,13,7,31,18,47,15,12,5,3,3,15,40,37,12,14,16,8,6,6,14,21,9,4,15,34,14,10,24,2,0,1,7,35,30,20,14,9,9,8,3,4,5,4,12,14,54,44
L03F6355,0,1,0,7,2,4,0,0,0,5,32,12,6,19,7,20,7,6,6,9,5,2,26,26,10,7,3,3,5,8,4,5,7,1,10,18,3,12,22,1,0,0,3,11,20,13,16,4,3,3,4,2,4,6,6,7,31,19
L03F6356,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6358,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6359,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6360,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6361,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6362,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
